horse_id,sire,sire_id,dam,dam_id,damsire,damsire_id
2018100442,モーリス,2011100655,マートンパーク,2012101339,フレンチデピュティ French Deputy(米),000a00013a
2018100443,リオンディーズ,2013105915,マーメイドティアラ,2009102448,シンボリクリスエス,1999110099
2018100474,ベルシャザール,2008103004,オースミリンド,1996104713,Woodman,000a001beb
2018100478,マクフィ Makfi(英),000a011c77,セントフロンティア,2002110236,デインヒル Danehill(米),000a0000d1
2018100480,オルフェーヴル,2008102636,チリエージェ,2001107654,サクラバクシンオー,1989108341
2018100494,ダノンレジェンド,2010110102,ミッキーオリーブ,2007103134,クロフネ,1998110135
2018100537,キングカメハメハ,2001103460,スイートサルサ,2010109147,デュランダル,1999106756
2018100593,キズナ,2010105827,ケイエスホノカ,1998106060,アフリート Afleet(加),000a000013
2018100595,キンシャサノキセキ,2003110212,メイショウシオギリ,2004105766,メイショウドトウ,1996110113
2018100618,エイシンフラッシュ,2007102951,トーホウアマポーラ,2009102583,フジキセキ,1992109618
2018100623,エイシンフラッシュ,2007102951,アフレイタス,1999107089,サンデーサイレンス Sunday Silence(米),000a00033a
2018100636,ロードカナロア,2008103552,クァンタムミス Quantum Miss(米),000a01293e,Smoke Glacken,000a00222c
2018100652,パイロ Pyro(米),000a01176a,エンジェヌー,2011100552,コマンズ Commands(豪),000a011625
2018100664,パイロ Pyro(米),000a01176a,サマリーズ,2010100704,ハードスパン Hard Spun(米),000a0116a1
2018100671,ディープインパクト,2002100816,ストロベリーフェア Strawberry Fair(英),000a010aae,Kingmambo (米),000a001d7e
2018100679,パイロ Pyro(米),000a01176a,ティップトップ,2011100511,Dubawi,000a0115e2
2018100681,ディープブリランテ,2009105084,デザートチル Desert Chill(米),000a0116dc,Red Ransom,000a001c68
2018100693,スクリーンヒーロー,2004103328,ブルーストーン,2011100528,コマンズ Commands(豪),000a011625
2018100719,ブラックタイド,2001103312,セレブデート,2012103741,キングカメハメハ,2001103460
2018100720,ルーラーシップ,2007103143,ソフトライム,2010103668,フジキセキ,1992109618
